id,Precinct,Parish,OPSB_District
1,1-1,ORLEANS,5
2,1-2,ORLEANS,5
3,1-5,ORLEANS,5
4,1-6,ORLEANS,5
5,10-11,ORLEANS,5
6,10-12,ORLEANS,5
7,10-13,ORLEANS,5
8,10-14,ORLEANS,5
9,10-3,ORLEANS,5
10,10-6,ORLEANS,5
11,10-7,ORLEANS,5
12,10-8,ORLEANS,5
13,10-9,ORLEANS,5
14,11-10,ORLEANS,5
15,11-11,ORLEANS,5
16,11-12,ORLEANS,5
17,11-13,ORLEANS,5
18,11-14,ORLEANS,5
19,11-17,ORLEANS,6
20,11-3,ORLEANS,5
21,11-5,ORLEANS,5
22,11-8,ORLEANS,5
23,11-9,ORLEANS,5
24,12-1,ORLEANS,5
25,12-10,ORLEANS,5
26,12-12,ORLEANS,5
27,12-13,ORLEANS,5
28,12-14,ORLEANS,5
29,12-16,ORLEANS,5
30,12-17,ORLEANS,5
31,12-19,ORLEANS,6
32,12-2,ORLEANS,5
33,12-3,ORLEANS,5
34,12-4,ORLEANS,5
35,12-5,ORLEANS,5
36,12-6,ORLEANS,5
37,12-7,ORLEANS,5
38,12-8,ORLEANS,5
39,12-9,ORLEANS,5
40,13-1,ORLEANS,5
41,13-10,ORLEANS,5
42,13-11,ORLEANS,5
43,13-12,ORLEANS,5
44,13-13,ORLEANS,5
45,13-14,ORLEANS,5
46,13-15,ORLEANS,5
47,13-16,ORLEANS,5
48,13-2,ORLEANS,5
49,13-3,ORLEANS,5
50,13-4,ORLEANS,5
51,13-5,ORLEANS,5
52,13-6,ORLEANS,5
53,13-7,ORLEANS,5
54,13-8,ORLEANS,6
55,13-9,ORLEANS,5
56,14-1,ORLEANS,6
57,14-10,ORLEANS,6
58,14-11,ORLEANS,6
59,14-12,ORLEANS,6
60,14-13A,ORLEANS,6
61,14-14,ORLEANS,6
62,14-15,ORLEANS,5
63,14-16,ORLEANS,6
64,14-17,ORLEANS,6
65,14-18A,ORLEANS,6
66,14-19,ORLEANS,6
67,14-2,ORLEANS,6
68,14-20,ORLEANS,5
69,14-21,ORLEANS,6
70,14-23,ORLEANS,5
71,14-24A,ORLEANS,6
72,14-25,ORLEANS,6
73,14-26,ORLEANS,6
74,14-3,ORLEANS,6
75,14-4,ORLEANS,6
76,14-5,ORLEANS,6
77,14-6,ORLEANS,6
78,14-7,ORLEANS,6
79,14-8,ORLEANS,6
80,14-9,ORLEANS,6
81,15-1,ORLEANS,4
82,15-10,ORLEANS,7
83,15-11,ORLEANS,7
84,15-12,ORLEANS,4
85,15-12A,ORLEANS,7
86,15-13,ORLEANS,4
87,15-13A,ORLEANS,7
88,15-13B,ORLEANS,7
89,15-14,ORLEANS,4
90,15-14A,ORLEANS,4
91,15-14B,ORLEANS,4
92,15-14C,ORLEANS,4
93,15-14D,ORLEANS,4
94,15-14E,ORLEANS,4
95,15-14F,ORLEANS,4
96,15-14G,ORLEANS,4
97,15-15,ORLEANS,4
98,15-15A,ORLEANS,4
99,15-15B,ORLEANS,4
100,15-16,ORLEANS,4
101,15-17,ORLEANS,4
102,15-17A,ORLEANS,4
103,15-17B,ORLEANS,4
104,15-18,ORLEANS,4
105,15-18A,ORLEANS,4
106,15-18B,ORLEANS,4
107,15-18C,ORLEANS,4
108,15-18D,ORLEANS,4
109,15-18E,ORLEANS,4
110,15-18F,ORLEANS,4
111,15-19,ORLEANS,4
112,15-19A,ORLEANS,4
113,15-19B,ORLEANS,4
114,15-19C,ORLEANS,4
115,15-3,ORLEANS,4
116,15-5,ORLEANS,7
117,15-6,ORLEANS,7
118,15-8,ORLEANS,7
119,15-9,ORLEANS,4
120,16-1,ORLEANS,6
121,16-01A,ORLEANS,6
122,16-2,ORLEANS,6
123,16-3,ORLEANS,6
124,16-4,ORLEANS,6
125,16-5,ORLEANS,6
126,16-6,ORLEANS,6
127,16-7,ORLEANS,6
128,16-8,ORLEANS,6
129,16-9,ORLEANS,6
130,17-1,ORLEANS,6
131,17-11,ORLEANS,6
132,17-12,ORLEANS,6
133,17-13,ORLEANS,6
134,17-13A,ORLEANS,6
135,17-14,ORLEANS,6
136,17-15,ORLEANS,6
137,17-16,ORLEANS,6
138,17-17,ORLEANS,3
139,17-18,ORLEANS,3
140,17-18A,ORLEANS,3
141,17-19,ORLEANS,3
142,17-2,ORLEANS,6
143,17-20,ORLEANS,3
144,17-3,ORLEANS,6
145,17-4,ORLEANS,6
146,17-5,ORLEANS,6
147,17-6,ORLEANS,6
148,17-7,ORLEANS,6
149,17-8,ORLEANS,6
150,17-9,ORLEANS,6
151,2-1,ORLEANS,5
152,2-2,ORLEANS,5
153,2-4,ORLEANS,6
154,2-6,ORLEANS,6
155,2-7,ORLEANS,6
156,3-1,ORLEANS,7
157,3-12,ORLEANS,3
158,3-14,ORLEANS,3
159,3-15,ORLEANS,3
160,3-18,ORLEANS,3
161,3-19,ORLEANS,3
162,3-20,ORLEANS,3
163,3-8,ORLEANS,7
164,3-9,ORLEANS,7
165,4-2,ORLEANS,7
166,4-11,ORLEANS,3
167,4-14,ORLEANS,3
168,4-15,ORLEANS,3
169,4-17,ORLEANS,3
170,4-18,ORLEANS,3
171,4-20,ORLEANS,3
172,4-21,ORLEANS,3
173,4-22,ORLEANS,3
174,4-23,ORLEANS,3
175,4-3,ORLEANS,7
176,4-5,ORLEANS,3
177,4-6,ORLEANS,3
178,4-7,ORLEANS,3
179,4-8,ORLEANS,3
180,4-9,ORLEANS,3
181,5-1,ORLEANS,4
182,5-10,ORLEANS,3
183,5-11,ORLEANS,3
184,5-12,ORLEANS,3
185,5-13,ORLEANS,3
186,5-15,ORLEANS,3
187,5-16,ORLEANS,3
188,5-17,ORLEANS,3
189,5-18,ORLEANS,3
190,7-20,ORLEANS,7
191,7-21,ORLEANS,7
192,7-23,ORLEANS,7
193,7-24,ORLEANS,7
194,7-25,ORLEANS,7
195,7-25A,ORLEANS,7
196,7-26,ORLEANS,7
197,7-27,ORLEANS,7
198,7-27B,ORLEANS,7
199,7-28,ORLEANS,7
200,7-28A,ORLEANS,7
201,7-29,ORLEANS,7
202,7-30,ORLEANS,3
203,7-32,ORLEANS,3
204,7-33,ORLEANS,3
205,7-35,ORLEANS,3
206,7-37,ORLEANS,3
207,7-37A,ORLEANS,3
208,7-4,ORLEANS,7
209,7-40,ORLEANS,3
210,7-41,ORLEANS,3
211,7-42,ORLEANS,3
212,7-5,ORLEANS,7
213,7-6,ORLEANS,7
214,7-7,ORLEANS,7
215,7-8,ORLEANS,7
216,7-09A,ORLEANS,7
217,8-1,ORLEANS,4
218,8-12,ORLEANS,2
219,8-13,ORLEANS,2
220,8-14,ORLEANS,2
221,8-15,ORLEANS,2
222,8-19,ORLEANS,2
223,8-2,ORLEANS,4
224,8-20,ORLEANS,2
225,8-21,ORLEANS,2
226,8-22,ORLEANS,2
227,8-23,ORLEANS,2
228,8-24,ORLEANS,2
229,8-25,ORLEANS,3
230,8-26,ORLEANS,3
231,8-27,ORLEANS,3
232,8-28,ORLEANS,3
233,8-30,ORLEANS,2
234,8-4,ORLEANS,2
235,8-6,ORLEANS,2
236,8-7,ORLEANS,2
237,8-8,ORLEANS,2
238,8-9,ORLEANS,2
239,9-1,ORLEANS,1
240,9-10,ORLEANS,2
241,5-2,ORLEANS,7
242,5-3,ORLEANS,7
243,5-5,ORLEANS,7
244,5-7,ORLEANS,7
245,5-8,ORLEANS,3
246,5-9,ORLEANS,3
247,6-1,ORLEANS,4
248,6-2,ORLEANS,7
249,6-4,ORLEANS,7
